                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
------------------------------------------------------------------

2021 330    0.01    0.00    0.00    0.00    0.00    0.00    0.00
2021 331    0.17    0.00    0.00    0.00    0.00    0.00    0.06
2021 332    0.12    0.00    0.00    0.00    0.00    0.00    0.04
2021 333    0.13    0.00    0.02    0.00    0.00    0.00    0.05
2021 334    0.21    0.00    0.02    0.00    0.00    0.00    0.08
2021 335    0.23    0.00    0.02    0.00    0.00    0.00    0.09
2021 336    0.13    0.00    0.02    0.00    0.00    0.00    0.05
2021 337    0.16    0.00    0.02    0.00    0.00    0.00    0.06
2021 338    0.38    0.02    0.02    0.00    0.00    0.00    0.15
2021 339    0.53    0.19    0.01    0.00    0.00    0.00    0.24
2021 340    0.51    0.42    0.01    0.00    0.00    0.00    0.29
2021 341    0.60    0.03    0.14    0.00    0.00    0.00    0.26
2021 342    0.88    0.62    0.36    0.00    0.00    0.00    0.55
2021 343    0.85    0.39    0.41    0.00    0.00    0.00    0.50
2021 344    0.96    0.39    0.41    0.00    0.00    0.00    0.53
2021 345    1.02    0.39    0.80    0.00    0.00    0.00    0.65
2021 346    1.06    0.42    0.86    0.00    0.00    0.00    0.69
2021 347    1.05    0.41    2.13    0.00    0.00    0.00    0.99
2021 348    0.97    0.41    0.72    0.00    0.00    0.00    0.62
2021 349    0.92    0.38    0.16    0.00    0.00    0.00    0.46
2021 350    0.79    0.07    0.05    0.00    0.00    0.00    0.32
2021 351    0.72    0.04    0.05    0.00    0.00    0.00    0.29
2021 352    0.76    0.13    0.06    0.00    0.00    0.00    0.32
2021 353    0.74    0.17    0.06    0.00    0.00    0.00    0.32
2021 354    0.94    0.23    0.54    0.00    0.00    0.00    0.52
2021 355    1.03    0.88    0.25    0.00    0.00    0.00    0.64
2021 356    1.31    0.90    0.30    0.00    0.01    0.00    0.75
2021 357    1.46    1.17    1.53    0.00    0.03    0.80    1.17
2021 358    1.64    1.63    2.42    0.07    0.65    1.74    1.61
2021 359    1.57    1.72    1.89    0.00    0.65    1.74    1.46
2021 360    1.42    1.82    2.05    0.00    0.37    0.00    1.45
2021 361    1.42    1.68    2.01    0.00    0.37    0.00    1.40
2021 362    1.45    1.54    1.86    0.00    0.38    0.00    1.35
2021 363    1.39    1.53    1.85    0.00    0.38    0.00    1.32
2021 364    2.11    2.48    1.71    0.00    0.37    0.00    1.77
2021 365    2.12    2.65    2.52    0.00    0.37    0.00    2.00
2022 001    2.20    3.23    2.52    0.00    2.92    0.00    2.35
2022 002    2.21    3.43    2.89    0.00    1.02    0.00    2.34
2022 003    4.39    7.31    7.81    0.00    0.71    0.00    5.17
2022 004    3.51    3.26    6.04    0.00    0.70    2.43    3.52
2022 005    2.75    3.76    6.09    0.00    1.48    2.43    3.42
2022 006    2.40    5.33    7.29    0.13    1.65   10.73    3.99
2022 007    4.44    9.14   11.96    3.36    0.85   58.37    7.14
2022 008    6.80   10.35   16.49    6.64    1.96   81.84    9.83
2022 009    3.36    6.60   13.99    6.68    1.30   81.84    7.09
