                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
------------------------------------------------------------------

2022 323    0.51    0.00    0.00    0.00    0.00    0.00    0.19
2022 324    0.13    0.00    0.12    0.00    0.00    0.00    0.08
2022 325    0.25    0.00    0.12    0.00    0.00    0.00    0.12
2022 326    0.18    0.00    0.12    0.07    0.00    0.83    0.10
2022 327    0.27    0.10    0.18    0.14    0.00    0.73    0.18
2022 328    0.26    0.00    0.26    0.10    0.00    1.10    0.17
2022 329    0.27    0.01    0.19    0.09    0.00    1.48    0.16
2022 330    0.29    0.00    0.17    0.09    0.00    1.13    0.16
2022 331    0.20    0.00    0.03    0.00    0.00    0.00    0.08
2022 332    0.27    0.00    0.03    0.00    0.00    0.00    0.11
2022 333    0.22    0.00    0.03    0.00    0.00    0.00    0.09
2022 334    0.11    0.00    0.03    0.00    0.00    0.00    0.05
2022 335    0.21    0.00    0.03    0.00    0.00    0.00    0.08
2022 336    0.34    0.00    0.04    0.00    0.00    0.00    0.13
2022 337    0.29    0.00    0.04    0.00    0.00    0.00    0.12
2022 338    0.36    0.03    0.06    0.00    0.00    0.00    0.15
2022 339    0.54    0.25    0.05    0.00    0.00    0.00    0.27
2022 340    0.54    0.25    0.05    0.00    0.00    0.00    0.26
2022 341    0.83    0.18    0.05    0.00    0.00    0.00    0.35
2022 342    1.03    0.22    0.05    0.00    0.00    0.00    0.44
2022 343    1.02    0.21    0.05    0.00    0.00    0.00    0.43
2022 344    1.06    0.20    0.06    0.00    0.00    0.00    0.45
2022 345    1.04    0.23    0.10    0.00    0.00    0.00    0.46
2022 346    1.07    0.21    0.37    0.00    0.00    0.00    0.53
2022 347    0.97    0.12    0.26    0.00    0.00    0.00    0.44
2022 348    0.99    0.10    0.54    0.00    0.35    0.00    0.54
2022 349    0.94    0.06    0.47    0.00    0.51    0.00    0.51
2022 350    0.96    0.07    0.57    0.00    0.44    0.00    0.53
2022 351    0.98    0.13    0.63    0.00    0.44    0.00    0.57
2022 352    0.97    0.18    1.36    0.00    0.45    0.00    0.75
2022 353    0.96    0.12    1.36    0.00    0.52    0.00    0.74
2022 354    1.12    1.09    1.20    0.36    0.62    3.29    1.03
2022 355    1.45    1.20    2.29    0.41    0.65    2.71    1.44
2022 356    2.26    2.34    3.04    0.51    0.64    1.60    2.18
2022 357    1.77    3.00    4.04    0.48    0.66    2.54    2.39
2022 358    2.11    4.22    4.95    6.51    0.92   90.00    3.93
2022 359    2.55    6.67    5.87   19.35    1.78   93.20    6.14
2022 360    2.77    7.55    6.61   23.25    1.66   95.00    6.96
2022 361    2.79    6.60    7.15   22.55    2.06   95.00    6.84
2022 362    3.64    5.45    5.87   21.02    1.18   95.00    6.38
2022 363    3.59    3.53    4.45   12.95    1.08   80.79    4.77
2022 364    2.02    2.74    4.52   11.51    1.23   80.13    3.91
2022 365    2.36    3.10    4.45   11.59    0.95   79.61    4.09
2023 001    2.67    3.01    4.43   11.63    0.93   69.91    4.14
2023 002    2.22    2.48    4.59   10.40    0.93   62.73    3.75
